Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,Percent_incountry_Travel_Growth,Percent_self_emplyed,suicide_per_100k,antidepressant_per_1k,Per_of_FemalePop,Household_size,Household_Nuclear,suicide_per_100k_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed_Ranked,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,antidepressant_per_1k_Ranked,Per_of_FemalePop_Ranked,Household_size_Ranked,Household_Nuclear_Ranked,Overall_Rank
Curacao,0,0,0,0,0,0,0,54.17816454,0,0,0,0,0,0,0,0,0,1,0,0,0.1
South Korea,0,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0,0,2,0,0,0,0.2
United States Virgin Islands,0,0,0,0,0,0,0,52.33382908,0,0,0,0,0,0,0,0,0,14,0,0,1.4
State of Palestine,0,0,0,0,0,0,0,0,6.0275,75.89666667,0,0,0,0,0,0,0,0,13,3,1.6
Macao,0,0,0,0,0,0,0,52.00139423,0,0,0,0,0,0,0,0,0,18,0,0,1.8
Tokelau,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,31.5,0,3.15
Niue,0,0,0,0,0,4.281140201,0,0,0,0,33,0,0,0,0,0,0,0,0,0,3.3
Egypt,0,0,0,0,0,0,0,0,4.858,75.215,0,0,0,0,0,0,0,0,51,4,5.5
St. Kitts and Nevis,0,0,0,4.46428,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,7.1
Syria,0,0,0,0,39.4,0,0,0,0,0,0,0,0,84.5,0,0,0,0,0,0,8.45
Channel Islands,0,0,0,0,0,0,0,50.40044036,0,0,0,0,0,0,0,0,0,90,0,0,9
Dem. People's Rep. of Korea,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,92,0,9.2
Wallis and Futuna,58.5,47.08,0,0,0,0,0,0,0,0,0,0,0,0,90,29,0,0,0,0,11.9
Cabo Verde,0,0,0,3.17988,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,11.9
North Macedonia,0,0,0,0,23.1,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,12.2
Bahamas,0,0,0,0,18.8,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,12.9
Western Sahara,1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,2,128.5,0,0,0,0,13.05
Republic of Moldova,0,0,0,0,0,0,0,0,2.9,65.54333333,0,0,0,0,0,0,0,0,119,16,13.5
"China, Hong Kong SAR",0,0,0,0,0,0,0,0,2.906666667,65.155,0,0,0,0,0,0,0,0,118,20,13.8
Lao PDR,0,0,0,5.49299,83.1,0,0,0,5.77,56.97,0,0,38,14,0,0,0,0,17,80,14.9
Serbia and Montenegro,0,0,0,0,0,13.83879209,0,0,0,0,153,0,0,0,0,0,0,0,0,0,15.3
Runion,0,0,0,0,0,0,0,0,2.64,64.33,0,0,0,0,0,0,0,0,132.5,26,15.85
Yugoslavia,0,0,0,0,0,14.67219667,0,0,0,0,159,0,0,0,0,0,0,0,0,0,15.9
St. Lucia,0,0,0,4.63426,34.8,0,0,0,0,0,0,0,67,95,0,0,0,0,0,0,16.2
"China, Macao SAR",0,0,0,0,0,0,0,0,3.075,60.435,0,0,0,0,0,0,0,0,113,50,16.3
Timor-Leste,0,0,0,0,51.6,0,0,0,5.273333333,57.015,0,0,0,57,0,0,0,0,30,78,16.5
United States of America,0,0,0,0,0,0,0,0,2.721111111,62.407,0,0,0,0,0,0,0,0,127,39,16.6
Republic of Korea,0,0,0,0,0,0,0,0,2.705,61.73333333,0,0,0,0,0,0,0,0,128,42,17
Czechoslovakia,0,0,0,0,0,19.51779692,0,0,0,0,176,0,0,0,0,0,0,0,0,0,17.6
USSR,0,0,0,0,0,22.76975111,0,0,0,0,182,0,0,0,0,0,0,0,0,0,18.2
East Germany,0,0,0,0,0,24.452345,0,0,0,0,184,0,0,0,0,0,0,0,0,0,18.4
Turks and Caicos Is,49.2,90.47,21.84,0,0,0,0,0,0,0,0,96,0,0,80,13,0,0,0,0,18.9
St. Vincent and the Grenadines,0,0,0,5.55506,11.9,0,0,0,0,0,0,0,36,158,0,0,0,0,0,0,19.4
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,2.58,58.83,0,0,0,0,0,0,0,0,135,62,19.7
Saint-Martin (French part),0,0,0,0,0,0,0,0,2.56,58.51,0,0,0,0,0,0,0,0,137,66,20.3
Marshall Islands,5.1,3.12,33.05,0,0,7.255068679,0,0,0,0,77,47,0,0,14,79,0,0,0,0,21.7
Saint-Barthlemy,0,0,0,0,0,0,0,0,2.42,57.27,0,0,0,0,0,0,0,0,151,75,22.6
Greenland,0,2.04,15.93,0,0,0,0,0,0,0,0,140,0,0,1,90.5,0,0,0,0,23.15
Faroe Islands,33.8,79.84,14.05,0,0,0,0,0,0,0,0,156,0,0,63,14,0,0,0,0,23.3
Congo,0,0,0,0,0,9.856473451,0,49.97721805,0,0,112,0,0,0,0,0,0,125,0,0,23.7
Palestine,0,0,0,0,43.7,0,0,49.28649684,0,0,0,0,0,73.5,0,0,0,168,0,0,24.15
St Pierre and Miquelon,29,49.59,13.52,0,0,0,0,0,0,0,0,163,0,0,57,27,0,0,0,0,24.7
East Timor,70.8,4.7,26.99,0,0,0,0,0,0,0,0,68,0,0,108,74,0,0,0,0,25
Palau,44.9,331.66,18.03,0,0,5.562626311,0,0,0,0,53,120,0,0,76,2,0,0,0,0,25.1
Yemen,0,0,0,0,0,6.221543021,0,49.48242189,6.68,63.945,61,0,0,0,0,0,0,160,7,27,25.5
Democratic Republic of Congo,0,0,0,0,0,12.25756788,0,50.10881854,0,0,142,0,0,0,0,0,0,117,0,0,25.9
Saint Helena,18.2,14.53,12.13,0,0,0,0,0,0,0,0,172,0,0,41,52,0,0,0,0,26.5
N. Mariana Islands,172.9,310.69,19.43,0,0,0,0,0,0,0,0,109,0,0,165,3,0,0,0,0,27.7
"Yemen, Rep.",40.6,0.36,42.89,9.60365,54.1,0,0,0,0,0,0,13,6,53,72,135,0,0,0,0,27.9
Cook Islands,89.1,50,21,0,0,4.43733495,0,0,0,0,34,100,0,0,123,26,0,0,0,0,28.3
Montserrat,92.5,39.22,17.59,0,0,0,0,0,0,0,0,126,0,0,127,30,0,0,0,0,28.3
Slovakia,0,0,0,0,0,11.84681357,38.9,0,3.0175,63.035,135,0,0,0,0,0,5,0,114,33,28.7
Timor,0,0,0,0,0,10.78198988,0,49.21820096,0,0,123,0,0,0,0,0,0,171,0,0,29.4
American Samoa,290.4,58.29,22.46,0,0,0,0,0,0,0,0,89,0,0,187,22,0,0,0,0,29.8
Gaza Strip,3968.8,11.11,39.45,0,0,0,0,0,0,0,0,26,0,0,222,56,0,0,0,0,30.4
Virgin Islands,56.9,9.84,13.96,0,0,0,0,0,0,0,0,157,0,0,88,59,0,0,0,0,30.4
Saint Kitts and Nevis,149.9,51.72,18.02,0,0,0,0,0,0,0,0,121.5,0,0,159,25,0,0,0,0,30.55
Nauru,632.7,142.86,24.76,0,0,4.076257647,0,0,0,0,30,76,0,0,212,9,0,0,0,0,32.7
South Sudan,0,0,0,0,57.9,0,0,49.89534592,5.95,42.99,0,0,0,50,0,0,0,133,14,131,32.8
Anguilla,132.1,59.8,14.17,0,0,0,0,0,0,0,0,154,0,0,154,21,0,0,0,0,32.9
"Congo, Rep.",10.8,0.05,42.57,3.76611,76.4,0,0,0,0,0,0,14,93,23,25,178,0,0,0,0,33.3
British Virgin Islands,151,52.29,14.89,10.2299,0,0,0,0,0,0,0,151,4,0,160,24,0,0,0,0,33.9
Mayotte,538.1,49.52,40.95,0,0,0,0,0,4.1,0,0,20,0,0,210,28,0,0,85,0,34.3
New Caledonia,11.5,11.83,18.11,0,0,0,0,49.62209513,0,0,0,119,0,0,26,55,0,149,0,0,34.9
"Venezuela, RB",0,0,0,3.17557,36.6,0,0,0,4.915,53.0675,0,0,120,88,0,0,0,0,45,104,35.7
Netherlands Antilles,231,37.92,14.78,0,0,0,0,0,0,0,0,152,0,0,179,31,0,0,0,0,36.2
Russia,0,0,0,0,7.7,30.76561292,0,0,0,0,192,0,0,171,0,0,0,0,0,0,36.3
Reunion,312.9,8.22,18.9,0,0,0,0,0,0,0,0,111,0,0,194,63,0,0,0,0,36.8
Eritrea,39.5,1.84,34.33,0,48.8,9.017198335,0,0,0,0,102,43,0,61,69,94,0,0,0,0,36.9
Antigua and Barbuda,156,34.54,16.93,6.66922,0,1.5999478,0,51.99929419,0,0,7,130,18,0,164,34,0,19,0,0,37.2
Burma,69.8,0.28,17.91,0,0,0,0,0,0,0,0,124,0,0,106.5,141.5,0,0,0,0,37.2
Guinea-Bissau,39.9,0.97,37.22,0,66.6,7.429408395,0,50.79735622,0,0,80,31,0,38,71,108,0,57,0,0,38.5
Tuvalu,454.2,92.31,22.18,0,0,7.920045061,0,0,0,0,87,91,0,0,207,12,0,0,0,0,39.7
Kiribati,130,140.94,30.65,3.02781,0,0,0,50.69201625,0,0,0,53,128,0,151,10,0,68,0,0,41
Gibraltar,3989.7,171.43,10.74,0,0,0,0,0,0,0,0,186,0,0,223,7,0,0,0,0,41.6
French Guiana,2.2,0.42,20.46,0,0,0,0,0,3.45,57.18,0,106,0,0,4,128.5,0,0,103,76,41.75
Myanmar,0,0,0,4.95901,61.4,10.56675794,0,51.15752759,4.22,56.4,121,0,56,42,0,0,0,39,80,84,42.2
Montenegro,0,0,0,3.24757,21.2,0,0,50.66307979,3.21,71.01,0,0,115,125,0,0,0,71,108,7,42.6
Cayman Islands,173.4,61.07,12.74,4.16737,0,0,0,0,0,0,0,167,79,0,166,18,0,0,0,0,43
Djibouti,21.2,1.37,39.53,0,41.3,5.160983276,0,49.81640428,0,0,47,25,0,76,46,99,0,140,0,0,43.3
Jersey,785.2,60.34,9.3,0,0,0,0,0,0,0,0,210,0,0,215,20,0,0,0,0,44.5
Guernsey,838.6,64.1,8.81,0,0,0,0,0,0,0,0,216,0,0,216,16,0,0,0,0,44.8
Saint Lucia,273.5,25.65,19.68,0,0,7.42360766,0,51.04643686,0,0,79,108,0,0,185,38,0,43,0,0,45.3
Taiwan,640.3,4.35,12.56,0,0,0,0,0,0,0,0,169.5,0,0,213,75,0,0,0,0,45.75
"Micronesia, Fed. St.",153.9,870.66,24.68,0,0,4.848552316,0,48.74547556,0,0,41,78,0,0,163,1,0,175,0,0,45.8
West Bank,419.9,0,31.67,0,0,0,0,0,0,0,0,51,0,0,206,205.5,0,0,0,0,46.25
French Polynesia,65.9,60.6,16.68,0,0,0,0,49.08037894,0,61.51,0,133,0,0,101,19,0,174,0,44,47.1
Venezuela,28.2,0.31,18.71,0,0,6.715234,0,50.26112307,0,0,69,114,0,0,56,139.5,0,97,0,0,47.55
Somalia,13.9,0.47,45.13,0,73.8,23.27362957,0,50.1870235,0,0,183,8,0,28,31,124.5,0,106,0,0,48.05
Dominica,91.4,19.63,15.27,3.43888,0,5.835250854,0,0,0,0,55,147,108,0,125,47,0,0,0,0,48.2
Cape Verde,104.4,23.93,24.87,0,39.8,5.065421789,0,50.1698433,0,0,46,75,0,81,136,41,0,109,0,0,48.8
Tonga,153.3,56.02,25.37,11.2626,56.4,4.546554721,0,49.83428688,0,0,37,73,3,52,162,23,0,138,0,0,48.8
Mauritania,3.1,0.07,40.99,0,47.7,7.180394809,0,49.60019764,0,0,74,19,0,66,10,177,0,150,0,0,49.6
Guam,316.1,23.2,18.79,0,0,0,0,49.36463769,0,0,0,112.5,0,0,195,42,0,164,0,0,51.35
Libya,3.4,0.1,26.49,21.3642,40.8,4.472429075,0,49.59028172,0,0,35,71,1,77.5,12,170,0,151,0,0,51.75
Isle of Man,131.9,27.97,11.05,0,0,0,0,0,2.28,0,0,182,0,0,152,36,0,0,157,0,52.7
Vanuatu,17.1,20.72,22.72,2.80463,74.7,5.025895869,0,49.40017231,0,0,45,87,137,27,40,46,0,162,0,0,54.4
Syrian Arab Republic,102,0.1,27.76,1.20192,0,0.535992175,0,0,0,0,2,65,174,0,134,170,0,0,0,0,54.5
Equatorial Guinea,19.3,1.06,35.59,0,40.1,9.18236214,0,44.64294166,0,0,104,37,0,79,42,104,0,185,0,0,55.1
Mozambique,24.6,0.31,35.18,6.72847,88.6,9.081569987,0,51.15974545,4.445,54.555,103,39,16,9.5,51,139.5,0,38,63,92,55.1
Cambodia,76.7,0.24,26.9,6.95381,51.3,4.983512661,0,51.20651046,4.8825,63.125,44,69,11,58,111,145,0,36,49,31,55.4
Belize,12.5,1.68,28.84,3.79665,31.6,7.308054569,0,50.21191077,0,0,78,62,91,102,28,95,0,101,0,0,55.7
Grenada,260.8,35.17,22.08,3.78667,0,3.614288829,0,49.78203606,0,0,26,92,92,0,184,33,0,142,0,0,56.9
"Macao SAR, China",16183,146.43,8.48,3.33229,0,0,0,0,0,0,0,222,113,0,226,8,0,0,0,0,56.9
Solomon Islands,19.4,18.67,30.01,1.20322,63.8,4.55074777,0,49.16201026,0,0,38,55,173,40,43,48,0,172,0,0,56.9
Monaco,16271.5,205,9.19,0,0,11.287015,0,0,0,0,129,212,0,0,227,5,0,0,0,0,57.3
"Congo, Dem. Rep.",26.7,0,43.69,3.63426,57.2,0,0,0,4.886,48.126,0,11,100,51,53,205.5,0,0,47.5,120,58.8
Turkmenistan,10.3,0,27.61,0,25.9,10.02790602,0,50.75981175,0,0,116,66,0,116.5,24,205.5,0,61,0,0,58.9
Madagascar,31.7,0.82,41.41,3.04703,89.3,5.969326976,0,50.1305938,4.886,59.86,56,17,127,5.5,62,111.5,0,113,47.5,55,59.45
"Hong Kong SAR, China",6355.7,67.12,7.29,2.86778,0,0,0,54.01468021,0,0,0,224,134,0,224,15,0,3,0,0,60
Laos,26.9,0,35.49,0,0,26.73157215,0,50.11884374,0,0,188,38,0,0,54,205.5,0,116,0,0,60.15
Samoa,60.1,13.69,16.43,0,36.4,5.498493393,0,48.40332113,6.75,0,50,136,0,89.5,92,53,0,181,6,0,60.75
"Bahamas, The",21.8,25.41,17.57,3.65348,0,3.296670916,0,51.03551718,3.4,44.86,20,127,98,0,48,39,0,44,107,127,61
Mali,9.5,0,49.82,5.79367,88.7,8.261613482,0,49.95645826,5.74625,53.2425,96,2,34,8,21,205.5,0,127,18,103,61.45
Guadeloupe,254.4,17.19,15.05,0,0,0,0,0,2.3,56.56,0,150,0,0,182,49,0,0,156,81,61.8
Tanzania,39.6,0.15,37.71,18.7417,86.2,9.4712883,0,50.5462204,4.954166667,46.68333333,110,30,2,13,70,161,0,77,41,123,62.7
Oman,14.6,0.98,36.24,4.61736,11.1,3.749441944,0,34.15597234,8.02,0,27,35,69,162,34,106.5,0,190,4,0,62.75
Liberia,27.3,0.52,44.77,0,80.2,8.135991733,0,49.54762434,5.036,39.254,93,10,0,18,55,123,0,155,39,137,63
Saint Vincent and the Grenadines,303,21.59,16.18,0,0,9.203070077,0,49.57411957,0,0,105,137,0,0,191,44,0,153,0,0,63
Angola,9.7,0.13,45.11,4.63182,71.5,13.68360467,0,50.96303626,5.163333333,53.28333333,152,9,68,32,22,165.5,0,48,34,101,63.15
Guatemala,112.9,0.37,29.88,4.50001,37.4,2.654905694,0,50.78296308,5.1325,62.47375,15,56,70,87,142,133,0,59,35,37,63.4
Andorra,152.1,0,8.71,0,0,5.395041201,0,0,0,0,49,221,0,0,161,205.5,0,0,0,0,63.65
Papua New Guinea,12.3,1.11,29.36,6.57679,76.3,12.1201671,0,49.12863841,5.126666667,59.19333333,141,59,20,24,27,102,0,173,36,59,64.1
Guinea,39.4,0.13,41.76,6.06269,91.5,7.482283133,0,49.86046831,6.394,35.094,81,16,30,3,68,165.5,0,135,9,142,64.95
Martinique,396.5,31.82,13.74,0,0,0,0,0,2.25,54.92,0,161,0,0,204,35,0,0,160,90,65
Zambia,15.3,0,41,6.40143,77.8,10.03935319,0,50.37930569,5.3175,48.6675,117,18,25,21,36,205.5,0,92,28,118,66.05
Tunisia,62.2,0.7,15.52,3.69376,27.3,3.600386739,0,50.59784293,0,0,25,144,95,113,96,117.5,0,73,0,0,66.35
Benin,69.8,0.11,38.85,6.44423,89.1,6.247377157,0,50.11892327,5.432,44.17777778,62,28,23,7,106.5,168,0,115,26,129,66.45
Senegal,61.1,0.27,32.78,5.25345,46.6,6.677666373,0,50.87041056,8.867142857,21.89285714,67,48,42,67,94,143,0,51,1,152,66.5
Haiti,299.4,6.38,36.44,3.73985,88.5,1.455346673,0,50.55181462,4.617142857,40.84142857,6,34,94,11,190,68,0,76,59,133,67.1
Morocco,74.4,0.41,21.98,3.87809,53.5,2.216826749,0,50.47215707,5.67,56.99,12,94,86,55,110,130,0,84,21,79,67.1
Chad,7.7,0,45.73,3.56214,91.8,7.952727376,0,49.94374497,5.49,54.16,88,6,104,2,18,205.5,0,130,23,97,67.35
Philippines,298.2,12.1,24.89,5.86717,38.5,1.67724003,0,49.67424777,4.86,62.726,8,74,33,86,189,54,0,147,50,36,67.7
San Marino,479.5,0,10.02,0,0,6.422833535,0,0,0,0,65,199,0,0,208,205.5,0,0,0,0,67.75
Niger,9.9,0,50.73,4.31315,89.3,9.251179385,0,49.85517298,6.055,49.6975,106,1,77,5.5,23,205.5,0,136,12,115,68.1
Ethiopia,66.3,0,37.98,5.98104,88.6,8.516032887,0,50.06925951,4.717142857,63.08,99,29,32,9.5,102,205.5,0,118,55,32,68.2
Afghanistan,48,0,46.6,0,67.3,6.745274867,0,48.46650935,8.04,52.77,70,4,0,36,78,205.5,0,180,3,108,68.45
"Korea, North",191.8,2.07,15.54,4.07087,66.9,11.55611508,0,51.08895834,0,0,132,143,80,37,171,88,0,41,0,0,69.2
Brunei Darussalam,65.8,2.79,18.79,5.17937,7.24,1.396965703,0,48.53396034,0,0,5,112.5,46,173,100,82,0,178,0,0,69.65
Peru,22,0.19,20.48,5.21603,53.9,1.731238514,0,50.05483206,4.203333333,56.53818182,9,104.5,43,54,49,155.5,0,119,81,82,69.7
Nicaragua,43,0.7,24.51,6.24826,44.7,12.46700245,0,50.69842263,5.476,52.858,144,79,26,70,75,117.5,0,67,24,105,70.75
Iceland,2.9,4.83,13.64,7.65934,11.7,11.45728723,141.4,49.82538564,0,0,131,162,9,160,9,73,29,139,0,0,71.2
Bhutan,48.5,0,33.65,0,71.4,16.16087836,0,46.92618866,0,0,165,46,0,33,79,205.5,0,184,0,0,71.25
Colombia,38.3,0.28,20.48,4.17546,50.7,4.218676156,0,50.80032427,4.331818182,54.14454545,32,104.5,78,60,67,141.5,0,56,76,98,71.3
Lebanon,372.5,2.16,18.52,6.14979,36.4,5.97873434,0,49.83833567,0,0,57,115,28,89.5,202.5,87,0,137,0,0,71.6
Russian Federation,8.4,0.22,9.95,3.67607,0,0,0,53.52634937,2.645,50.96,0,201,97,0,20,150.5,0,6,131,113,71.85
Panama,40.8,3.18,21.74,6.69426,35.3,4.928731056,0,49.89148694,4.385,50.39666667,43,97,17,93,73,78,0,134,71,114,72
Sierra Leone,83.7,0.56,45.76,3.87914,89.9,12.53389157,0,50.47717308,5.923333333,33.66666667,145,5,84,4,120,122,0,83,15,143,72.1
Kuwait,135.7,2.8,21.94,6.50893,2.53,0.994203969,0,42.57858952,0,0,4,95,21,178,155,81,0,188,0,0,72.2
Seychelles,179.2,107.91,16.03,2.97741,0,9.73080193,0,50.72148625,3.78,0,111,138,133,0,167,11,0,66,96,0,72.2
Honduras,65.4,0.73,28.24,4.96693,48.1,7.752264653,0,50.13976687,5.092,54.396,86,63,55,64,98,114,0,112,37,95,72.4
